Bulbasaur 45 49 49 65 65 45 10 0 10 14 13 1 Ivysaur 16
Squirtle 44 48 65 50 64 43 18 0 18 13 16 6 Wartortle 16
Charmander 39 52 43 60 50 65 7 0 7 13 17 11 Charmeleon 16
Caterpie 45 30 35 20 20 45 1 0 1 13 10 11 Metapod 7
Weedle 40 35 30 20 20 50 1 14 1 14 13 10 Kakuna 7
Pidgey 40 45 40 35 35 56 13 8 13 6 8 10 Pidgeotto 18
Rattata 30 56 35 25 35 72 13 0 13 2 14 11 Raticate 20
Spearow 40 60 30 31 31 70 13 8 13 8 6 2 Fearow 20 
Ekans 35 60 44 40 54 55 14 0 14 13 10 11 Arbok 22
Pikachu 35 55 30 50 40 90 4 0 4 13 8 7 Raichu 25
Sandshrew 50 75 85 20 30 40 11 0 11 6 16 13 Sandslash 22
Nidoran(F) 55 47 52 40 40 41 14 0 14 13 11 6 Nidorina 16
Nidoran(M) 46 57 40 40 40 50 14 0 14 13 11 6 Nidorino 16
Clefairy 70 45 48 60 65 35 5 0 5 13 15 8 Clefable 25
Vulpix 38 41 40 50 65 65 7 0 7 13 2 6 Ninetales 25
Jigglypuff 115 45 20 45 25 20 13 5 13 5 8 15 Igglybuff 25
Zubat 40 45 35 30 40 55 14 8 14 8 2 16 Golbat 22
Oddish 45 50 55 75 65 30 10 14 10 14 11 18 Gloom 21
Paras 35 70 55 45 55 25 1 10 1 10 11 16 Parasect 24
Venonat 60 55 50 40 55 45 1 14 1 14 8 10 Venomoth 31
Diglett 10 55 25 35 45 95 11 0 11 2 14 16 Dugtrio 26
Meowth 40 45 35 40 40 90 13 0 13 6 17 2 Persian 28
Psyduck 50 52 48 65 50 55 18 0 18 15 13 14 Golduck 33
Mankey 40 80 35 35 45 70 6 0 6 13 16 8 Primeape 28
Growlithe 55 70 45 70 50 60 7 0 7 13 6 11 Arcanine 25
Poliwag 40 50 40 40 40 90 18 0 18 15 1 12 Poliwhirl 25
Abra 25 20 15 105 55 90 15 0 15 13 5 4 Kadabra 16
Machop 70 80 50 35 35 35 6 0 6 16 17 11 Machoke 28
Bellsprout 50 75 35 70 30 40 10 14 10 14 13 1 Weepinbell 21
Tentacool 40 40 35 50 100 70 18 14 18 14 4 15 Tentacruel 30
Geodude 40 80 100 30 30 20 16 11 11 16 4 2 Graveler 25
Ponyta 50 85 55 65 65 90 7 0 7 13 6 2 Rapidash 40
Slowpoke 90 65 65 40 40 15 18 15 18 15 13 5 Slowbro 37 
